id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
0;Am Glacis 1;1;2;;;Am Glacis;Magistrat der Stadt Wien;48.2125181;16.3551592;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
1;Am Glacis 2;2;2;1;Stadt Wiener Magistrat;Am Glacis;Magistrat der Stadt Wien;48.2126712;16.3554096;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
2;Am Glacis 3;3;"3;4";"2;3";Stadt Wiener Magistrat;Am Glacis;Magistrat der Stadt Wien;48.2146147;16.3555025;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
3;Alsergasse oder Hauptstraße 4;4;5;4;Stadt Wiener Magistrat, Schießstätte;Alsergasse oder Hauptstraße;Magistrat der Stadt Wien;48.2146594;16.3545113;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
4;Alsergasse oder Hauptstraße 5;5;6;5;;Alsergasse oder Hauptstraße;Magistrat der Stadt Wien;48.2146783;16.3541242;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
5;Alsergasse oder Hauptstraße 6;6;7;6;;Alsergasse oder Hauptstraße;Magistrat der Stadt Wien;48.2146852;16.3539306;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
6;Wickenburggasse 7;7;280;;;Wickenburggasse;Magistrat der Stadt Wien;48.2137307;16.3540029;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
7;Wickenburggasse 8;8;279;;;Wickenburggasse;Magistrat der Stadt Wien;48.2135157;16.3540467;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
8;Wickenburggasse 9;9;278;;;Wickenburggasse;Magistrat der Stadt Wien;48.2133007;16.3541087;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
9;Wickenburggasse 10;10;277;;;Wickenburggasse;Magistrat der Stadt Wien;48.2130943;16.3541422;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
10;Wickenburggasse 11;11;22;;;Wickenburggasse;Magistrat der Stadt Wien;48.212869;16.3541861;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
11;Wickenburggasse 12;12;23;;;Wickenburggasse;Magistrat der Stadt Wien;48.2126832;16.3542377;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
12;Florianigasse 13;13;24;;;Florianigasse;Magistrat der Stadt Wien;48.2124338;16.3542919;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
13;Florianigasse 36;36;269;;;Florianigasse;Magistrat der Stadt Wien;48.2120227;16.3541422;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
14;Wickenburggasse 15;15;19;;;Wickenburggasse;Magistrat der Stadt Wien;48.2124114;16.3540803;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
15;Wickenburggasse 16;16;20;;;Wickenburggasse;Magistrat der Stadt Wien;48.2126454;16.3540312;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
16;Wickenburggasse 17;17;21;;;Wickenburggasse;Magistrat der Stadt Wien;48.21285;16.3539951;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
17;Wickenburggasse 18;18;276;;;Wickenburggasse;Magistrat der Stadt Wien;48.2130685;16.3539487;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
18;Wickenburggasse 19;19;275;;;Wickenburggasse;Magistrat der Stadt Wien;48.2132852;16.3538944;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
19;Wickenburggasse 20;20;274;;;Wickenburggasse;Magistrat der Stadt Wien;48.2135449;16.3538583;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
20;Wickenburggasse 21;21;273;;;Wickenburggasse;Magistrat der Stadt Wien;48.2137616;16.3537989;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
21;Wickenburggasse 22;22;272;;;Wickenburggasse;Magistrat der Stadt Wien;48.2140041;16.3537602;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
22;Wickenburggasse 23;23;271;;;Wickenburggasse;Magistrat der Stadt Wien;48.2142501;16.353737;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
23;Wickenburggasse 24;24;270;;;Wickenburggasse;Magistrat der Stadt Wien;48.2145407;16.3537112;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
24;Hauptstraße 25;25;8;7;;Hauptstraße;Magistrat der Stadt Wien;48.2147145;16.3534505;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
25;Alsergasse oder Hauptstraße 6;6;7;6;;Alsergasse oder Hauptstraße;Magistrat der Stadt Wien;48.2147196;16.3532492;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
26;Schlösselgasse 27;27;10;198;;Schlösselgasse;Magistrat der Stadt Wien;48.2141211;16.3532104;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
27;Schlösselgasse 28;28;11;197;;Schlösselgasse;Magistrat der Stadt Wien;48.2138442;16.3532363;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
28;Schlösselgasse 29;29;12;186;;Schlösselgasse;Magistrat der Stadt Wien;48.2136687;16.3532543;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
29;Schlösselgasse 30;30;13;184;;Schlösselgasse;Magistrat der Stadt Wien;48.213526;16.3532724;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
30;Schlösselgasse 31;31;14;183;;Schlösselgasse;Magistrat der Stadt Wien;48.2133746;16.3533163;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
31;Schlösselgasse 32;32;15;182;;Schlösselgasse;Magistrat der Stadt Wien;48.2131717;16.3533318;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
32;Schlösselgasse 33;33;16;9;;Schlösselgasse;Magistrat der Stadt Wien;48.2129395;16.3533369;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
33;Schlösselgasse 34;34;17;9;;Schlösselgasse;Magistrat der Stadt Wien;48.2127778;16.3533627;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
34;Florianigasse 35;35;18;10;;Florianigasse;Magistrat der Stadt Wien;48.2124114;16.3533808;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
35;Florianigasse 37;37;26;162;;Florianigasse;Magistrat der Stadt Wien;48.2120554;16.3524671;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
36;Florianigasse 38;38;27;165;;Florianigasse;Magistrat der Stadt Wien;48.212076;16.3526245;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
37;Florianigasse 39;39;28;166;;Florianigasse;Magistrat der Stadt Wien;48.2120984;16.3528026;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
38;Florianigasse 40;40;"29;30";"160;161";;Florianigasse;Magistrat der Stadt Wien;48.2121483;16.3531149;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
39;Schlösselgasse 41;41;31;170;;Schlösselgasse;Magistrat der Stadt Wien;48.2125129;16.3532234;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
40;Schlösselgasse 42;42;32;12;;Schlösselgasse;Magistrat der Stadt Wien;48.2127933;16.3531666;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
41;Schlösselgasse 43;43;33;159;;Schlösselgasse;Magistrat der Stadt Wien;48.213053;16.3531201;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
42;Schlösselgasse 44;44;34;157;;Schlösselgasse;Magistrat der Stadt Wien;48.2132697;16.353084;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
43;Herrngasse 45;45;35;156;;Herrngasse;Magistrat der Stadt Wien;48.2133058;16.3526968;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
44;Herrngasse 46;46;36;155;;Herrngasse;Magistrat der Stadt Wien;48.2132972;16.3524361;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
