id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
0;Platz am Alserbach nächst der k. k. Porzellan-Fabrik 1;1;;;;Platz am Alserbach nächst der k. k. Porzellan-Fabrik;Magistrat der Stadt Wien;48.2266268;16.3608587;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
1;Schmiedgasse 2;2;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2259943;16.3605057;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
2;Schmiedgasse 3;3;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2269275;16.3600133;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
3;Schmiedgasse 4;4;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2270569;16.3599722;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
4;Schmiedgasse 5;5;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2271517;16.3599667;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
5;Schmiedgasse 6;6;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2272756;16.3599421;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
6;Schmiedgasse 7;7;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2274397;16.359912;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
7;Schmiedgasse 8;8;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2276165;16.3598929;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
8;Schmiedgasse 9;9;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2277805;16.3598436;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
9;Schmiedgasse 10;10;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2279482;16.3598354;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
10;Schmiedgasse 11;11;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2281122;16.3598135;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
11;Schmiedgasse 12;12;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2282726;16.3597971;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
12;Schmiedgasse 13;13;;;;Schmiedgasse;Magistrat der Stadt Wien;48.228402;16.3597889;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
13;Schmiedgasse 14;14;;;;Schmiedgasse;Magistrat der Stadt Wien;48.2286445;16.3596247;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
14;Schmiedgasse 15;15;;;;Schmiedgasse;Magistrat der Stadt Wien;48.228752;16.3596111;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
15;Am Alserbach 16;16;;;;Am Alserbach;Magistrat der Stadt Wien;48.2254438;16.3602404;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
16;Am Alserbach 17;17;;;Magistrat der Stadt Wien;Am Alserbach;Magistrat der Stadt Wien;48.2256042;16.3601856;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
17;Am Alserbach 18;18;;;;Am Alserbach;Magistrat der Stadt Wien;48.2257956;16.3600762;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
18;Am Alserbach 19;19;;;;Am Alserbach;Magistrat der Stadt Wien;48.2259742;16.3600105;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
19;Am Alserbach 20;20;;;;Am Alserbach;Magistrat der Stadt Wien;48.2261893;16.3599613;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
20;Am Alserbach 21;21;;;;Am Alserbach;Magistrat der Stadt Wien;48.2265283;16.359871;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
21;2 Fechtergasse 22;22;;;;2 Fechtergasse;Magistrat der Stadt Wien;48.226501;16.3594633;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
22;2 Fechtergasse 23;23;;;;2 Fechtergasse;Magistrat der Stadt Wien;48.2264445;16.3592663;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
23;Simondenkengasse 24;24;;;;Simondenkengasse;Magistrat der Stadt Wien;48.2260927;16.3593347;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
24;Simondenkengasse 25;25;;;;Simondenkengasse;Magistrat der Stadt Wien;48.2259068;16.3594113;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
25;Simondenkengasse 26;26;;;;Simondenkengasse;Magistrat der Stadt Wien;48.2257099;16.3594852;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
26;Simondenkengasse 27;27;;;;Simondenkengasse;Magistrat der Stadt Wien;48.2255204;16.3595591;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
27;Simondenkengasse 28;28;;;;Simondenkengasse;Magistrat der Stadt Wien;48.2253472;16.359622;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
28;Simondenkengasse 29;29;;;;Simondenkengasse;Magistrat der Stadt Wien;48.2252506;16.3594141;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
29;Simondenkengasse 30;30;;;;Simondenkengasse;Magistrat der Stadt Wien;48.225431;16.359384;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
30;Simondenkengasse 31;31;;;;Simondenkengasse;Magistrat der Stadt Wien;48.2256279;16.3593183;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
31;Simondenkengasse 32;32;;;;Simondenkengasse;Magistrat der Stadt Wien;48.2257992;16.3592526;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
32;Simondenkengasse 33;33;;;;Simondenkengasse;Magistrat der Stadt Wien;48.2259833;16.3591706;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
33;2 Fechtergasse 35;35;;;;2 Fechtergasse;Magistrat der Stadt Wien;48.2263533;16.3589216;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
34;2 Fechtergasse 36;36;;;;2 Fechtergasse;Magistrat der Stadt Wien;48.226233;16.3586261;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
35;An der Donau in der Spitlau 37;37;;;K. K. Patrimonial-Güter-Oberdirketion;An der Donau in der Spitlau;Bürgerspital in Wien;48.2295558;16.3614743;Althan;Althan;Behsel Stadtplan, WStLA, P1: 295/18G
