id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
841;Kaiserstraﬂe 1;1;1;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2097635;16.3472085;Behsel Stadtplan, WStLA, P1: 295/12G
842;Kaiserstraﬂe 2;2;2;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2097774;16.3470672;Behsel Stadtplan, WStLA, P1: 295/12G
843;Kaiserstraﬂe 3;3;3;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2097832;16.34698;Behsel Stadtplan, WStLA, P1: 295/12G
844;Kaiserstraﬂe 4;4;4;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2098262;16.3468858;Behsel Stadtplan, WStLA, P1: 295/12G
845;Kaiserstraﬂe 5;5;5;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2098774;16.3466364;Behsel Stadtplan, WStLA, P1: 295/12G
846;Kaiserstraﬂe 6;6;6;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2099343;16.3464114;Behsel Stadtplan, WStLA, P1: 295/12G
847;Kaiserstraﬂe 7;7;7;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2099599;16.3462474;Behsel Stadtplan, WStLA, P1: 295/12G
848;Kaiserstraﬂe 8;8;8;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2100529;16.3459927;Behsel Stadtplan, WStLA, P1: 295/12G
849;Kaiserstraﬂe 9;9;9;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2100959;16.3457869;Behsel Stadtplan, WStLA, P1: 295/12G
850;Kaiserstraﬂe 10;10;10;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2101447;16.3456212;Behsel Stadtplan, WStLA, P1: 295/12G
851;Kaiserstraﬂe 11;11;11;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2102679;16.3451572;Behsel Stadtplan, WStLA, P1: 295/12G
852;Kaiserstraﬂe 12;12;12;;K. K. Milit‰r-Transport-Sammelhaus;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2105388;16.3439432;Behsel Stadtplan, WStLA, P1: 295/12G
853;Kaiserstraﬂe 13;13;13;;;Kaiserstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2106015;16.3432822;Behsel Stadtplan, WStLA, P1: 295/12G
