id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
207;Hernalser Linienstraﬂe 1;1;1;;;Hernalser Linienstraﬂe;Stift Schotten;48.2150892;16.3435137;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
208;Hernalser Linienstraﬂe 2;2;;;;Hernalser Linienstraﬂe;Stift Schotten;48.2151114;16.3440617;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
209;Hernalser Linienstraﬂe 3;3;;;;Hernalser Linienstraﬂe;Stift Schotten;48.2151224;16.3443535;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
210;Hernalser Linienstraﬂe 4;4;;;;Hernalser Linienstraﬂe;Stift Schotten;48.2151288;16.3446169;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
211;Hernalser Linienstraﬂe 5;5;;;;Hernalser Linienstraﬂe;Stift Schotten;48.2151272;16.3448707;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
212;Hernalser Linienstraﬂe 6;6;;;;Hernalser Linienstraﬂe;Stift Schotten;48.2151367;16.3451341;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
213;Feldgasse 7;7;;;;Feldgasse;Stift Schotten;48.215143;16.3454164;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
214;Feldgasse 8;8;;;;Feldgasse;Stift Schotten;48.2146861;16.3454828;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
215;Feldgasse 9;9;;;;Feldgasse;Stift Schotten;48.2144111;16.3454543;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
216;Feldgasse 10;10;;;;Feldgasse;Stift Schotten;48.2142467;16.3451768;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
217;Feldgasse 11;11;;;;Feldgasse;Stift Schotten;48.2139669;16.3454093;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
218;Feldgasse 12;12;;;;Feldgasse;Stift Schotten;48.2137471;16.3453855;Josephstadt;Breitenfeld;Behsel Stadtplan, WStLA, P1: 295/14G
