id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
80;Obere Hauptstraﬂe 1;1;5;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.224739;16.354055;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
81;Obere Hauptstraﬂe 2;2;6;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2249035;16.3543251;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
82;Obere Hauptstraﬂe 3;3;7;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2251557;16.3546689;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
83;Obere Hauptstraﬂe 4;4;8;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2255139;16.3549805;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
84;Obere Hauptstraﬂe 5;5;9;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2258245;16.3551698;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
85;Obere Hauptstraﬂe 6;6;10;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2260044;16.355209;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
86;Obere Hauptstraﬂe 7;7;11;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2261059;16.3551836;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
87;Obere Hauptstraﬂe 8;8;12;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2262473;16.3551767;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
88;Obere Hauptstraﬂe 9;9;13;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2263965;16.3551628;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
89;S‰ulengasse 10;10;14;;;S‰ulengasse;Magistrat der Stadt Wien;48.2264964;16.3547266;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
90;S‰ulengasse 11;11;15;;;S‰ulengasse;Magistrat der Stadt Wien;48.2265179;16.3545212;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
91;S‰ulengasse 12;12;16;;;S‰ulengasse;Magistrat der Stadt Wien;48.2265395;16.3543297;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
92;S‰ulengasse 13;13;17;;;S‰ulengasse;Magistrat der Stadt Wien;48.2265564;16.3541681;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
93;S‰ulengasse 14;14;18;;;S‰ulengasse;Magistrat der Stadt Wien;48.2265764;16.3539419;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
