id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
76;Hundsthurmer Hauptstraße 106;106;73;71;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1896145;16.3523102;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
77;Hundsthurmer Hauptstraße 107;107;74;72;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1894801;16.352418;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
78;Hundsthurmer Hauptstraße 105;105;72;70;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1895324;16.3520616;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
79;Hundsthurmer Hauptstraße 108;108;75;73;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.189416;16.3522117;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
80;Hundsthurmer Hauptstraße 103;103;70;68;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1893754;16.3515963;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
81;Hundsthurmer Hauptstraße 102;102;69;67;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1893144;16.3514146;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
82;Hundsthurmer Hauptstraße 110;110;77;75;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.189273;16.3517768;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
83;Hundsthurmer Hauptstraße 109;109;76;74;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1893378;16.3519937;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
84;Hundsthurmer Hauptstraße 111;111;78;76;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1891917;16.3515669;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
85;Hundsthurmer Hauptstraße 112;112;85;83;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1890737;16.3512598;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
86;Hundsthurmer Hauptstraße 113;113;86;84;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1889768;16.3509773;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
87;Hundsthurmer Hauptstraße 114;114;87;85;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.18889;16.3507417;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
88;Hundsthurmer Hauptstraße 115;115;88;86;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1888017;16.3505225;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
89;Hundsthurmer Hauptstraße 116;116;89;88;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.188722;16.3503068;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
90;Hundsthurmer Hauptstraße 97;97;64;62;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1889862;16.3502939;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
91;Hundsthurmer Hauptstraße 98;98;65;63;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1890831;16.3506268;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
92;Hundsthurmer Hauptstraße 99;99;66;64;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1891448;16.3508577;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
93;Hundsthurmer Hauptstraße 100;100;67;65;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1892136;16.3510734;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
