id;Adresse;Hausnummer;neue_1822_1862;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
516;Altwiedener Hauptstraﬂe 1;1;;;;;Altwiedener Hauptstraﬂe;Magistrat der Stadt Wien;Hungelbrunn;48.19006603;16.36646405;Behsel Stadtplan, WStLA, P1: 295/100;Hungelbrunn
517;Altwiedener Hauptstraﬂe 2;2;;;;;Altwiedener Hauptstraﬂe;Magistrat der Stadt Wien;Hungelbrunn;48.18983248;16.36633185;Behsel Stadtplan, WStLA, P1: 295/100;Hungelbrunn
518;Altwiedener Hauptstraﬂe 3;3;;;;;Altwiedener Hauptstraﬂe;"Magistrat der Stadt Wien;Herrschaft Seegenthal";Hungelbrunn;48.18956367;16.36609389;Behsel Stadtplan, WStLA, P1: 295/100;Hungelbrunn
519;Altwiedener Hauptstraﬂe 4;4;;;;;Altwiedener Hauptstraﬂe;St‰ndisch frei;Hungelbrunn;48.18924639;16.36579644;Behsel Stadtplan, WStLA, P1: 295/100;Hungelbrunn
520;Blechernerthurm Feldgasse 5;5;;;;;Blechernerthurm Feldgasse;"Magistrat der Stadt Wien;Herrschaft Seegenthal";Hungelbrunn;48.18847505;16.36748485;Behsel Stadtplan, WStLA, P1: 295/100;Hungelbrunn
521;Altwiedener Hauptstraﬂe 6;6;;;;;Altwiedener Hauptstraﬂe;Magistrat der Stadt Wien;Hungelbrunn;48.18755547;16.3644644;Behsel Stadtplan, WStLA, P1: 295/100;Hungelbrunn
380;Altwiedener Hauptstraﬂe 7;7;;;;;Altwiedener Hauptstraﬂe;Magistrat der Stadt Wien;Hungelbrunn;48.1871613;16.364266;Behsel Stadtplan, WStLA, P1: 295/100;Hungelbrunn
379;Altwiedener Hauptstraﬂe 8;8;;;;;Altwiedener Hauptstraﬂe;Magistrat der Stadt Wien;Hungelbrunn;48.1866517;16.3639143;Behsel Stadtplan, WStLA, P1: 295/100;Hungelbrunn
378;Altwiedener Hauptstraﬂe 9;9;;;;;Altwiedener Hauptstraﬂe;Magistrat der Stadt Wien;Hungelbrunn;48.1863719;16.3637221;Behsel Stadtplan, WStLA, P1: 295/100;Hungelbrunn
454;Altwiedener Hauptstraﬂe 10;10;;;;;Altwiedener Hauptstraﬂe;Magistrat der Stadt Wien;Hungelbrunn;48.1861625;16.363565;Behsel Stadtplan, WStLA, P1: 295/100;Hungelbrunn
453;Altwiedener Hauptstraﬂe 11;11;;;;;Altwiedener Hauptstraﬂe;Magistrat der Stadt Wien;Hungelbrunn;48.1859092;16.3632883;Behsel Stadtplan, WStLA, P1: 295/100;Hungelbrunn
