ID;primäres_Label_viecpro;Adresse;alternatives_label_adress1822;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Stadtviertel
0;Ksl. Burg;Burgplatz 1;1;"12;1222";"12;1184";Kaiserlich-Königliche Burg;Burgplatz;Kaiserlich-Königlich;48.2070838;16.3658979;Widmerviertel
1;;Naglergasse 305;305;332;204;;Naglergasse;Magistrat der Stadt Wien;48.21107222;16.36655919;Schottenviertel
2;Herrengasse, Dietrichsteinisches Haus;Herrengasse 27;27;"35;36";"19;20";;Herrengasse;Ständisch rustikal, seiner Obrigkeit Stift Schotten;48.2090966;16.3658795;Schottenviertel
3;Herrengasse, Mollardisches Haus;Herrengasse 28;28;37;21;;Herrengasse;Stift Schotten;48.2094076;16.3657288;Schottenviertel
4;Herrengasse, Trautsonisches Haus;Herrengasse 29;29;37;21;K. K. Dicasterial-Gebäude oder niederländische Kanzlei;Herrengasse;Ständisch frei;48.2096481;16.3655273;Schottenviertel
5;Landhaus;Herrengasse 30;30;39;23;Niederösterreichisches Landhaus (d. große);Herrengasse;Ständisch frei;48.2100989;16.3651365;Schottenviertel
6;Herrengasse, Zum schwarzen Tor;Minoritenplatz 35;35;44;28;;Minoritenplatz;P. P. Minoriten;48.21034115;16.36394543;Schottenviertel
7;Spanisches Haus;Vordere Schenkenstraße 45;45;54;47;;Vordere Schenkenstraße;"Ständisch frei;Magistrat der Stadt Wien";48.2101711;16.3625421;Schottenviertel
8;Rosengasse, Seizisches Haus;Rosengasse 53;53;62;66;;Rosengasse;Magistrat der Stadt Wien;48.2111245;16.3630096;Schottenviertel
9;Ksl. Hofzahlamt;Herrengasse 59;59;67;57;;Herrengasse;Ständisch rustikal, seiner Obrigkeit Stift Schotten;48.2109296;16.3646102;Schottenviertel
10;Rosengasse, Studlerisches Haus;Freyung 62;62;70;60;;Freyung;"teils ständisch rustikal, seiner Obrigkeit Stift Schotten;teils Magistrat der Stadt Wien";48.2112568;16.3631811;Schottenviertel
11;Teinfaltstraße, Statthalterisches Haus;Teinfaltstraße 64;64;72;62;;Teinfaltstraße;Magistrat der Stadt Wien;48.2116459;16.3633527;Schottenviertel
12;Ksl. Reitstall;Teinfaltstraße 74;74;82;76;;Teinfaltstraße;Stift Schotten;48.2115852;16.3625775;Schottenviertel
13;Schottenhof;Freyung 136;136;143;117;Stift Schotten;Freyung;Ständisch frei;48.2126633;16.3640295;Schottenviertel
