id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
0;Am Glacis 1;1;1;1;;Am Glacis;Magistrat der Stadt Wien;48.2074249;16.3551218;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
1;Schwibbogengasse 2;2;169;;;Schwibbogengasse;Magistrat der Stadt Wien;48.207485;16.3534398;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
2;Schwibbogengasse 3;3;2;62;;Schwibbogengasse;Magistrat der Stadt Wien;48.2076526;16.3535204;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
3;Schwibbogengasse 4;4;3;63;;Schwibbogengasse;Magistrat der Stadt Wien;48.2076969;16.3537743;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
4;Schwibbogengasse 5;5;4;;;Schwibbogengasse;Magistrat der Stadt Wien;48.2077538;16.3541871;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
5;Schwibbogengasse 6;6;5;2;;Schwibbogengasse;Magistrat der Stadt Wien;48.207923;16.3549438;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
6;Am Glacis 7;7;6;3;;Am Glacis;Magistrat der Stadt Wien;48.20807;16.354894;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
7;Am Glacis 8;8;7;4;;Am Glacis;Magistrat der Stadt Wien;48.208206;16.3548513;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
8;Am Glacis 9;9;8;5;;Am Glacis;Magistrat der Stadt Wien;48.2083372;16.3547991;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
9;Am Glacis 10;10;9;6;;Am Glacis;Magistrat der Stadt Wien;48.2084858;16.3547161;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
10;Josephgasse 11;11;10;55;;Josephgasse;Magistrat der Stadt Wien;48.2083198;16.3535679;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
11;Josephgasse 12;12;11;56;;Josephgasse;Magistrat der Stadt Wien;48.208285;16.353314;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
12;Josephgasse 13;13;12;57;;Josephgasse;Magistrat der Stadt Wien;48.2082597;16.3531029;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
13;Josephgasse 14;14;"13;66";58;;Josephgasse;Magistrat der Stadt Wien;48.2082281;16.3528229;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
14;Josephgasse 15;15;14;50;;Josephgasse;Magistrat der Stadt Wien;48.2083973;16.3529273;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
15;Josephgasse 16;16;15;51;;Josephgasse;Magistrat der Stadt Wien;48.2084605;16.3535228;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
16;Josephgasse 17;17;16;52;;Josephgasse;Magistrat der Stadt Wien;48.2084858;16.3537766;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
17;Josephgasse 18;18;17;53;;Josephgasse;Magistrat der Stadt Wien;48.2085111;16.3539474;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
18;Josephgasse 19;19;18;54;;Josephgasse;Magistrat der Stadt Wien;48.2085317;16.3541278;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
19;Am Glacis 20;20;19;7;;Am Glacis;Magistrat der Stadt Wien;48.2086534;16.3546876;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
20;Am Glacis 21;21;20;8;;Am Glacis;Magistrat der Stadt Wien;48.2087735;16.3546592;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
21;Am Glacis 22;22;21;9;;Am Glacis;Magistrat der Stadt Wien;48.2088716;16.3546307;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
