id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
0;Im unteren Prater 1;1;41;26;K. K. Wirthshaus;Im unteren Prater;Kaiserlich Königlich;48.2151474;16.3885211;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
1;Im unteren Prater 2;2;40;28;K. K. Hofküche;Im unteren Prater;Kaiserlich Königlich;48.2149267;16.3877963;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
2;Im unteren Prater 3;3;39;29;K. K. Aufseherhaus;Im unteren Prater;Kaiserlich Königlich;48.2144917;16.3857065;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
3;Im unteren Prater 4;4;38;25;K. K. Revierjägerhaus;Im unteren Prater;Kaiserlich Königlich;48.2146603;16.384607;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
4;Im oberen Prater 5;5;48 3/4;;;Im oberen Prater;Kaiserlich Königlich liegt im Gebiet des Magistrats der Stadt Wien;48.2147352;16.3849568;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
5;Im oberen Prater 6;6;48;;Simons Kaffeehaus;Im oberen Prater;Kaiserlich Königlich liegt im Gebiet des Magistrats der Stadt Wien;48.2148893;16.3852629;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
6;Im oberen Prater 7;7;49;;Cirkus Gymnastikus des de Bach;Im oberen Prater;Kaiserlich Königlich liegt im Gebiet des Magistrats der Stadt Wien;48.2150599;16.3855566;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
7;Im oberen Prater 8;8;31;24;K. K. Gartenschloß;Im oberen Prater;Kaiserlich Königlich liegt im Gebiet des Magistrats der Stadt Wien;48.2151786;16.3857752;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
8;Im oberen Prater 9;9;30;21;K. K. Geschirrmeisterhaus;Im oberen Prater;Kaiserlich Königlich liegt im Gebiet des Magistrats der Stadt Wien;48.2153035;16.3859533;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
9;Im oberen Prater 10;10;29;23;K. K. Jägerhaus;Im oberen Prater;Kaiserlich Königlich liegt im Gebiet des Magistrats der Stadt Wien;48.2153618;16.3860814;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
10;Im oberen Prater 11;11;28;22;K. K. Jägerei-Schmidhaus;Im oberen Prater;Kaiserlich Königlich liegt im Gebiet des Magistrats der Stadt Wien;48.21547;16.3862813;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
11;Am Schüttel 12;12;37;32;;Am Schüttel;"Magistrat der Stadt Wien; Herrschaft Seegenthal";48.2155449;16.3864187;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
12;Am Schüttel 13;13;36;31;;Am Schüttel;"Magistrat der Stadt Wien; Herrschaft Seegenthal";48.2157052;16.3867374;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
13;Am Schüttel 14;14;35;30;;Am Schüttel;"Herrschaft Seegenthal; Herrschaft Schaumburgerhof";48.215905;16.3871029;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
14;Am Schüttel 15;15;34;30;;Am Schüttel;"Herrschaft Seegenthal; Herrschaft Schaumburgerhof";48.2160174;16.3873184;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
15;Am Schüttel 16;16;33;30;;Am Schüttel;"Herrschaft Seegenthal; Herrschaft Schaumburgerhof";48.2161985;16.3876901;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
16;Am Schüttel 17;17;32;38;;Am Schüttel;"Herrschaft Seegenthal; Herrschaft Schaumburgerhof";48.2163463;16.3880088;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
17;Am Schüttel 18;18;43;;;Am Schüttel;Herrschaft Schaumburgerhof;48.2164212;16.3881712;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
18;Am Schüttel 19;19;44;;;Am Schüttel;Herrschaft Schaumburgerhof;48.2165149;16.3883461;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
19;Franzensbrücken-Allee 20;20;59;;;Franzensbrücken-Allee;Herrschaft Schaumburgerhof;48.216619;16.3886054;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
20;Franzensbrücken-Allee 23;23;47;;;Franzensbrücken-Allee;Herrschaft Schaumburgerhof;48.2170706;16.3895457;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
21;Franzensbrücken-Allee 24;24;27;39;;Franzensbrücken-Allee;Herrschaft Seegenthal;48.2172621;16.3899393;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
22;Franzensbrücken-Allee 25;25;22 1/2;;;Franzensbrücken-Allee;Herrschaft Seegenthal;48.2174515;16.3902454;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
23;Franzensbrücken-Allee 26;26;26;35;;Franzensbrücken-Allee;Herrschaft Seegenthal;48.216621;16.3906046;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
24;Praterstraße 27;27;25;20;;Praterstraße;Herrschaft Seegenthal;48.2161694;16.3906921;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
25;Praterstraße 28;28;24;37;;Praterstraße;Herrschaft Seegenthal;48.2167459;16.3921915;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
26;Praterstraße 29;29;23;36;;Praterstraße;Herrschaft Seegenthal;48.2164566;16.3919697;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
27;Praterstraße 30;30;22;19;;Praterstraße;Herrschaft Seegenthal;48.2160591;16.3922977;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
