id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
0;Am Getreidemarkt 1;1;1;23;Stadt Wien Magistrat;Am Getreidemarkt;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2016731;16.3606146;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
1;Am Getreidemarkt 2;2;2;24;Stadt Wien Magistrat;Am Getreidemarkt;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2014799;16.3610838;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
2;Am Getreidemarkt 3;3;3;25;Kaserne, dem Stadtmagistrate gehörig;Am Getreidemarkt;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.201207;16.3617173;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
3;Kothgasse 4;4;4;32;K. K. Kaserne, genannt Jesuiterhof;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2010975;16.3622821;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
4;Kothgasse 5;5;5;37;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2009222;16.362049;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
5;Kothgasse 6;6;6;37;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2006573;16.3617651;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
6;Kothgasse 7;7;7;33;;Kothgasse;Niederösterreichische Landstände;Spittelberg, Mariahilf;48.200218;16.3614977;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
7;Kothgasse 8;8;8;36;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.199982;16.3612601;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
8;Kothgasse 9;9;9;36;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1997878;16.3612511;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
9;3 Hufeisengasse 10;10;10;34;Theater-Malerei zum Theater an der Wien;3 Hufeisengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.199746;16.3619609;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
10;3 Hufeisengasse 11;11;11;28;;3 Hufeisengasse;Domkapitel;Spittelberg, Mariahilf;48.1995836;16.3614678;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
11;3 Hufeisengasse 12;12;12;29;;3 Hufeisengasse;Domkapitel;Spittelberg, Mariahilf;48.1995338;16.362188;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
12;3 Hufeisengasse 13;13;13;43;;3 Hufeisengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995199;16.3625645;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
13;3 Hufeisengasse 14;14;14;30;;3 Hufeisengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1996533;16.3628425;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
14;3 Hufeisengasse 15;15;15;165;;3 Hufeisengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2003704;16.3639333;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
15;Am Glacis 16;16;16;164;;Am Glacis;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2007061;16.3645459;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
16;Am Glacis 17;17;17;91;K. K. Wagenholz-Magazin;Am Glacis;Kaiserlich-Königlich;Spittelberg, Mariahilf;48.2010447;16.3641649;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
17;Am Glacis 18;18;18;163;;Am Glacis;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2005706;16.3647058;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
18;Am Glacis 19;19;19;"161;162";;Am Glacis;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2004491;16.3648701;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
19;Jägergasse 20;20;20;167;;Jägergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2001324;16.3644159;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
20;Jägergasse 21;21;21;166;;Jägergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.199991;16.3641679;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
21;Jägergasse 22;22;22;26;;Jägergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1999232;16.3643023;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
22;Am Glacis 23;23;23;"159;160";;Am Glacis;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1996504;16.3646699;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
23;An der Wien 24;24;24;38;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1998356;16.3650076;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
24;Theatergasse 25;25;25;171;;Theatergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2001981;16.3652019;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
