id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
131;Baumgasse 138;138;136;199;;Baumgasse;Magistrat der Stadt Wien;Landstraﬂe;48.196599;16.396458;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
1;Rennweggasse 545;545;486;1;K. K. Deutsch adelige Garde;Rennweggasse;Magistrat redimiert;Landstraﬂe;48.1976718;16.3783664;Behsel Stadtplan, WStLA, P1: 295/8;
2;Rennweggasse 466;466;415;346;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.197458;16.3796661;Behsel Stadtplan, WStLA, P1: 295/8;
3;Rennweggasse 467;467;416;347;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.197355;16.3799785;Behsel Stadtplan, WStLA, P1: 295/8;
4;Rennweggasse 544;544;485;2;K. K. Belvedere;Rennweggasse;"Magistrat der Stadt Wien;Stift Schotten;Herrschaft Schaumburgerhof;Kommende St. Johann;Kaiserspital";Landstraﬂe;48.1970526;16.379799;Behsel Stadtplan, WStLA, P1: 295/8;
5;Rennweggasse 468;468;533;;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1971312;16.3805203;Behsel Stadtplan, WStLA, P1: 295/8;
6;Rennweggasse 469;469;418;37;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1970171;16.3808028;Behsel Stadtplan, WStLA, P1: 295/8;
7;Marokanergasse 456;456;405;348;;Marokanergasse;Magistrat der Stadt Wien;Landstraﬂe;48.1976641;16.3803774;Behsel Stadtplan, WStLA, P1: 295/8;
8;Marokanergasse 453;453;404;361;;Marokanergasse;Magistrat der Stadt Wien;Landstraﬂe;48.1976364;16.3805884;Behsel Stadtplan, WStLA, P1: 295/8;
9;Marokanergasse 455;455;417;362;;Marokanergasse;Magistrat der Stadt Wien;Landstraﬂe;48.1972586;16.3802577;Behsel Stadtplan, WStLA, P1: 295/8;
10;Rennweggasse 470;470;419;36;;Rennweggasse;Stift Schotten;Landstraﬂe;48.1967701;16.3813363;Behsel Stadtplan, WStLA, P1: 295/8;
