id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
202;Hauptstraße 1;1;1;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2279231;16.356143;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
203;Hauptstraße 2;2;2;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2277975;16.3561585;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
204;Hauptstraße 3;3;3;;;Hauptstraße;Fürst von und zu Liechtenstein;48.227684;16.3561844;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
205;Hauptstraße 4;4;4;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2275498;16.3562231;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
206;Hauptstraße 5;5;5;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2273984;16.3562515;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
207;Hauptstraße 6;6;6;;;Hauptstraße;Fürst von und zu Liechtenstein;48.227247;16.3562954;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
208;Hauptstraße 7;7;7;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2271231;16.3563264;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
209;Hauptstraße 8;8;8;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2270026;16.3563729;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
210;Hauptstraße 9;9;9;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2267962;16.3564581;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
211;Hauptstraße 10;10;10;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2266929;16.356502;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
212;Hauptstraße 11;11;11;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2266207;16.3565305;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
