id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
0;Neuwiedner Haupstraße 1;1;1;78;;Neuwiedner Haupstraße;Magistrat der Stadt Wien;Margarethen;48.1918925;16.3593894;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
1;Neuwiedner Haupstraße 2;2;2;79;;Neuwiedner Haupstraße;Magistrat der Stadt Wien;Margarethen;48.1918269;16.3592323;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
2;Schloßplatz 30;30;30;1;;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.1916659;16.3588525;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
3;Schloßplatz 29;29;29;137;;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.1912814;16.3594973;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
4;Schloßgasse 3;3;3;80;;Schloßgasse;Magistrat der Stadt Wien;Margarethen;48.1912642;16.3598161;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
5;Grießgasse 31;31;31;143;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1915174;16.3585618;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
6;Schloßplatz 90;90;83;13;;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.1915831;16.3577412;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
7;Schloßplatz 166;166;155;77;;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.192048;16.3588724;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
8;Schloßplatz 165;165;154;76;;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.191959;16.3586685;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
9;Schloßplatz 164;164;153;75;;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.1918808;16.3584786;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
10;Schloßplatz 163;163;152;74;;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.1918073;16.358298;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
11;Schloßplatz 162;162;151;73;;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.1917136;16.3581234;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
12;Schloßplatz 161;161;150;72;;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.1916909;16.3579393;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
