id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
405;Rückwärts Mariahilf am Berg 1;1;30;;;Rückwärts Mariahilf am Berg;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1969257;16.3540919;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
406;Bergsteiggasse 2;2;29;;;Bergsteiggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1967369;16.3540036;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
407;Brunngasse 3;3;32;;;Brunngasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1967614;16.3542731;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
408;Bergsteiggasse 4;4;31;;;Bergsteiggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.196873;16.3543683;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
409;Bergsteiggasse 5;5;33;;;Bergsteiggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1966987;16.3543385;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
410;Bergsteiggasse 6;6;34;;;Bergsteiggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1966781;16.3545288;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
411;Bergsteiggasse 7;7;35;;;Bergsteiggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1966704;16.3546102;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
412;Rückwärts Mariahilf am Berg 8;8;28;;;Rückwärts Mariahilf am Berg;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1966605;16.354038;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
413;Kegelgasse 9;9;27;;;Kegelgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1965993;16.3540609;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
414;Kegelgasse 10;10;26;;;Kegelgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1964472;16.3544084;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
415;Rückwärts Mariahilf am Berg 11;11;25;;;Rückwärts Mariahilf am Berg;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1964136;16.3543064;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
416;Rückwärts Mariahilf am Berg 12;12;24;;;Rückwärts Mariahilf am Berg;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1965351;16.3540609;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
417;Rückwärts Mariahilf am Berg 13;13;23;;;Rückwärts Mariahilf am Berg;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1964931;16.3540426;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
418;Hauptstraße 14;14;22;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1964235;16.3540174;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
419;Hauptstraße 15;15;;;Gemeindehaus;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1954481;16.3531906;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
420;Hauptstraße 16;16;21;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1955276;16.3533236;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
421;Hauptstraße 17;17;20;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1956698;16.3535461;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
422;Hauptstraße 18;18;19;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1957891;16.3537456;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
423;Hauptstraße 19;19;18;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.19589;16.3539245;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
424;Hauptstraße 20;20;17;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1959893;16.354085;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
425;Hauptstraße 21;21;16;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1960795;16.3542364;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
426;Hauptstraße 22;22;15;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1961483;16.3543488;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
427;Hauptstraße 23;23;14;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1962034;16.3544703;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
428;Hauptstraße 24;24;13;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1962401;16.3546102;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
429;Hauptstraße 25;25;12;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1962859;16.3547387;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
430;Hauptstraße 26;26;36;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1964144;16.3549405;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
431;Hauptstraße 27;27;11;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.196289;16.355124;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
432;Hauptstraße 28;28;10;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1962202;16.3548327;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
433;Hauptstraße 29;29;9;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1961529;16.3546676;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
434;Hauptstraße 30;30;8;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1961071;16.354569;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
435;Hauptstraße 31;31;7;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1960367;16.3544222;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
436;Hauptstraße 32;32;6;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1959404;16.3542869;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
437;Hauptstraße 33;33;5;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1958472;16.3541217;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
438;Hauptstraße 34;34;4;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1957463;16.3539612;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
439;Hauptstraße 35;35;3;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.195653;16.3538052;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
440;Hauptstraße 36;36;2;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1955521;16.3536561;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
441;Hauptstraße 37;37;1;;;Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.195439;16.3534658;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
442;Bergsteiggasse 38;38;;;;Bergsteiggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1965883;16.3544136;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
443;Am Wienfluß neben dem Stege 39;39;;;Bauplatz der Gemeinde Magdalenengrund;Am Wienfluß neben dem Stege;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1963215;16.3553946;Behsel Stadtplan, WStLA, P1: 295/11G;Magdalenengrund
