id;Hausnummer;Vorstadt;Latitude;Longitude;reference;Viertel;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Adresse
477;1;Spittelberg, Mariahilf;48.1983148;16.3554671;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;12.5;;;Windmühlgasse;Domkapitel;Windmühlgasse 1
478;2;Spittelberg, Mariahilf;48.1992082;16.3564911;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;9;;;Windmühlgasse;Domkapitel;Windmühlgasse 2
479;3;Spittelberg, Mariahilf;48.1994594;16.3567637;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;1;;;Windmühlgasse;Domkapitel;Windmühlgasse 3
480;4;Spittelberg, Mariahilf;48.1995416;16.3568822;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;2;;;Windmühlgasse;Domkapitel;Windmühlgasse 4
481;5;Spittelberg, Mariahilf;48.1996633;16.3570386;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;3;;;Windmühlgasse;Domkapitel;Windmühlgasse 5
482;6;Spittelberg, Mariahilf;48.2003853;16.3566226;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;4;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 6
483;7;Spittelberg, Mariahilf;48.200277;16.3562422;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;5;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 7
484;8;Spittelberg, Mariahilf;48.2002154;16.3560241;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;6;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 8
485;9;Spittelberg, Mariahilf;48.2001704;16.3558618;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;7;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 9
486;10;Spittelberg, Mariahilf;48.2001001;16.3556283;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;8;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 10
487;11;Spittelberg, Mariahilf;48.2000503;16.3554422;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;9;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 11
488;12;Spittelberg, Mariahilf;48.1999871;16.3552253;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;10;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 12
489;13;Spittelberg, Mariahilf;48.1998544;16.3547631;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;11;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 13
490;14;Spittelberg, Mariahilf;48.1997209;16.3543057;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;12;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 14
491;15;Spittelberg, Mariahilf;48.1996261;16.3539738;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;13;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 15
492;16;Spittelberg, Mariahilf;48.1995305;16.3536728;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;14;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 16
493;17;Spittelberg, Mariahilf;48.1994113;16.3533173;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 17
494;18;Spittelberg, Mariahilf;48.1990574;16.3533955;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;Pfarrhaus oder Colleg der P. P. Barnabiten;Kleine Kirchengasse;Domkapitel;Kleine Kirchengasse 18
495;19;Spittelberg, Mariahilf;48.1987335;16.3537818;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 19
496;20;Spittelberg, Mariahilf;48.1985581;16.3539786;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;"Domkapitel;Bürgerspital in Wien";Kleine Kirchengasse 20
497;21;Spittelberg, Mariahilf;48.1984365;16.3541374;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;"Domkapitel;Bürgerspital in Wien";Kleine Kirchengasse 21
498;22;Spittelberg, Mariahilf;48.198318;16.3542867;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;"Domkapitel;Bürgerspital in Wien";Kleine Kirchengasse 22
499;23;Spittelberg, Mariahilf;48.1981868;16.3544431;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;"Domkapitel;Bürgerspital in Wien";Kleine Kirchengasse 23
500;24;Spittelberg, Mariahilf;48.1980557;16.3547702;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;"Domkapitel;Bürgerspital in Wien";Kleine Kirchengasse 24
501;25;Spittelberg, Mariahilf;48.1981094;16.3550594;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;"Domkapitel;Bürgerspital in Wien";Kleine Kirchengasse 25
502;160;Spittelberg, Mariahilf;48.1987556;16.3559388;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Windmühlgasse;Domkapitel;Windmühlgasse 160
503;163;Spittelberg, Mariahilf;48.1989373;16.3561569;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Windmühlgasse;Domkapitel;Windmühlgasse 163
504;26;Spittelberg, Mariahilf;48.1981789;16.354154;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 26
505;27;Spittelberg, Mariahilf;48.1983432;16.353943;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 27
506;28;Spittelberg, Mariahilf;48.1984649;16.3537818;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 28
507;29;Spittelberg, Mariahilf;48.1986008;16.3536088;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 29
508;30;Spittelberg, Mariahilf;48.1985944;16.3531584;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 30
509;31;Spittelberg, Mariahilf;48.1987746;16.3529854;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;Fener-Requisitien-Stadl der Gemeinde Mariahilf;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 31
510;32;Spittelberg, Mariahilf;48.1988773;16.3528693;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 32
511;33;Spittelberg, Mariahilf;48.1991585;16.3525303;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 33
