id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
145;Ziegelofengasse 100;100;86;;;Ziegelofengasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1864446;16.3470374;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
156;Ziegelofengasse 99;99;87;;;Ziegelofengasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1866056;16.3477606;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
178;Ziegelofengasse 94;94;90;;;Ziegelofengasse;"Magistrat der Stadt Wien;Stift Schotten";Matzleinsdorf;48.1875435;16.3506807;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
179;Ziegelofengasse 96;96;89;;;Ziegelofengasse;"Magistrat der Stadt Wien;Stift Schotten";Matzleinsdorf;48.1871027;16.3491498;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
180;Ziegelofengasse 97;97;88;;;Ziegelofengasse;Magistrat der Stadt Wien;Matzleinsdorf;48.187037;16.3489563;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
192;Florianigasse 124;124;;;;Florianigasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1866298;16.3519292;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
193;Reinprechtsdorfer-Straﬂe 93;93;105;;;Reinprechtsdorfer-Straﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1869862;16.3526489;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
194;Reinprechtsdorfer-Straﬂe 92;92;;;;Reinprechtsdorfer-Straﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1867893;16.3528248;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
195;Reinprechtsdorfer-Straﬂe 91;91;;;;Reinprechtsdorfer-Straﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1864563;16.3531483;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
196;Florianigasse 123;123;;;;Florianigasse;"Magistrat der Stadt Wien;Stift Schotten";Matzleinsdorf;48.1872535;16.3514345;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
203;Siebenbrunnerwiese 108;108;104;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1856896;16.353847;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
204;Brunngasse 88;88;98;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1857944;16.3540603;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
205;Brunngasse 87;87;78;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1856701;16.3545386;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
206;Brunngasse 86;86;77;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1859194;16.3550146;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
207;Brunngasse 125;125;;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1859397;16.3551822;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
208;Brunngasse 85;85;96;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1859772;16.3554858;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
209;Siebenbrunnerwiese 111;111;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1860421;16.3558433;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
210;Brunngasse 84;84;76;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.186125;16.3562325;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
211;Brunngasse 83;83;75;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1861672;16.3564318;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
212;Siebenbrunnerwiese 110;110;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1862469;16.3566803;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
213;Brunngasse 82;82;74;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1863766;16.3569898;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
214;Brunngasse 80;80;73;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1865314;16.357318;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
215;Brunngasse 79;79;72;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1866252;16.357529;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
216;Brunngasse 77;77;102;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1869503;16.3578502;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
217;Brunngasse 76;76;71;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1868002;16.3578854;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
218;Brunngasse 75;75;70;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1869378;16.3581199;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
219;Brunngasse 78;78;97;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1867299;16.3574165;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
220;Brunngasse 81;81;95;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1866423;16.3572313;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
221;Brunngasse 74;74;69;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1870831;16.3584012;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
222;Brunngasse 73;73;67;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1872441;16.3584129;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
223;Brunngasse 72;72;66;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.187277;16.3584762;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
224;Brunngasse 71;71;68;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1871926;16.3586356;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
225;Brunngasse 69;69;64;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1873864;16.3590225;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
226;Brunngasse 70;70;65;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.187377;16.3587271;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
227;Brunngasse 129;129;;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1875067;16.3592687;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
228;Brunngasse 65;65;60;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1876583;16.3595594;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
229;Brunngasse 64;64;94;;;Brunngasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1877631;16.3594867;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
