id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
0;Am Alserbach 1;1;27;;;Am Alserbach;Magistrat der Stadt Wien;48.2245288;16.3538928;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
1;Am Alserbach 2;2;29;;;Am Alserbach;Magistrat der Stadt Wien;48.2242984;16.3537144;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
2;Am Alserbach 3;3;30;;;Am Alserbach;Magistrat der Stadt Wien;48.2241685;16.3536826;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
3;Am Alserbach 4;4;33;;;Am Alserbach;Magistrat der Stadt Wien;48.2239105;16.3536259;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
4;W‰hringer Linienstraﬂe 5;5;1;;;W‰hringer Linienstraﬂe;Magistrat der Stadt Wien;48.2233337;16.3534959;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
5;W‰hringer Linienstraﬂe 6;6;28;;;W‰hringer Linienstraﬂe;Magistrat der Stadt Wien;48.2245205;16.3532981;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
6;W‰hringer Linienstraﬂe 7;7;3;;;W‰hringer Linienstraﬂe;Magistrat der Stadt Wien;48.224573;16.3529108;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
7;W‰hringer Linienstraﬂe 8;8;"34;56";;;W‰hringer Linienstraﬂe;Magistrat der Stadt Wien;48.2242653;16.3504682;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
8;Wachsbleichgasse 9;9;7;;;Wachsbleichgasse;Magistrat der Stadt Wien;48.2243795;16.3507102;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
9;Wachsbleichgasse 10;10;8;;;Wachsbleichgasse;Magistrat der Stadt Wien;48.2239888;16.3515913;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
10;Wachsbleichgasse 11;11;26;;;Wachsbleichgasse;Magistrat der Stadt Wien;48.2238442;16.3525318;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
11;W‰hringer Linienstraﬂe 12;12;25;;;W‰hringer Linienstraﬂe;Magistrat der Stadt Wien;48.2237207;16.3530574;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
12;W‰hringer Linienstraﬂe 13;13;9;;;W‰hringer Linienstraﬂe;Magistrat der Stadt Wien;48.2235032;16.3527725;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
13;W‰hringer Linienstraﬂe 14;14;"10;11";;;W‰hringer Linienstraﬂe;Magistrat der Stadt Wien;48.2231862;16.3531625;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
14;W‰hringer Linienstraﬂe 15;15;12;;;W‰hringer Linienstraﬂe;Magistrat der Stadt Wien;48.223036;16.3531902;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
15;W‰hringer Linienstraﬂe 16;16;13;;;W‰hringer Linienstraﬂe;Magistrat der Stadt Wien;48.2227974;16.3532109;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
16;W‰hringer Linienstraﬂe 17;17;14;;;W‰hringer Linienstraﬂe;Magistrat der Stadt Wien;48.2225854;16.3532151;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
17;Am Alserbach 18;18;31;;;Am Alserbach;Magistrat der Stadt Wien;48.2218583;16.3525927;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
18;Am Alserbach 19;19;15;;K. K. Versorgungshaus;Am Alserbach;Magistrat der Stadt Wien;48.2189122;16.3514502;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
19;Am Alserbach 20;20;16;;;Am Alserbach;Magistrat der Stadt Wien;48.2188495;16.3511736;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
20;Am Alserbach 21;21;17;;;Am Alserbach;Magistrat der Stadt Wien;48.2188016;16.3510491;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
21;Am Alserbach 22;22;18;;;Am Alserbach;Magistrat der Stadt Wien;48.2186615;16.3507006;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
22;Am Alserbach 23;23;19;;;Am Alserbach;Magistrat der Stadt Wien;48.2184818;16.3504544;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
23;Am Alserbach 24;24;20;;;Am Alserbach;Magistrat der Stadt Wien;48.2182293;16.3505332;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
24;Am Alserbach 25;25;21;;;Am Alserbach;Magistrat der Stadt Wien;48.2180653;16.3503852;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
25;Am Alserbach 26;26;32;;Direktion der k. k. Irrenanstalt;Am Alserbach;Magistrat der Stadt Wien;48.2177814;16.3494723;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
26;Am Alserbach 27;27;"22;23";;;Am Alserbach;Magistrat der Stadt Wien;48.2176377;16.3468057;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
27;Am Alserbach 28;28;24;;;Am Alserbach;Magistrat der Stadt Wien;48.2172193;16.3452621;Michelbeuerngrund;Michelbeuerngrund;Behsel Stadtplan, WStLA, P1: 295/16G
