id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
475;Am Platzel 1;1;1;1;;Am Platzel;Stift Schotten;Neubau;Neubau;48.205436;16.3518977;Behsel Stadtplan, WStLA, P1: 295/12G
476;Am Platzel 2;2;2;2;;Am Platzel;Stift Schotten;Neubau;Neubau;48.205506;16.3516558;Behsel Stadtplan, WStLA, P1: 295/12G
477;Schottenhofgasse 3;3;3;3;;Schottenhofgasse;Stift Schotten;Neubau;Neubau;48.2057075;16.3515669;Behsel Stadtplan, WStLA, P1: 295/12G
478;Schottenhofgasse 4;4;4;4;;Schottenhofgasse;Stift Schotten;Neubau;Neubau;48.205915;16.3515758;Behsel Stadtplan, WStLA, P1: 295/12G
479;Schottenhofgasse 5;5;5;5;;Schottenhofgasse;Stift Schotten;Neubau;Neubau;48.2061699;16.3515669;Behsel Stadtplan, WStLA, P1: 295/12G
480;Schottenhofgasse 6;6;6;18;;Schottenhofgasse;Stift Schotten;Neubau;Neubau;48.2059102;16.3513783;Behsel Stadtplan, WStLA, P1: 295/12G
481;Rofranogasse 7;7;7;6;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.206228;16.3512751;Behsel Stadtplan, WStLA, P1: 295/12G
482;Rofranogasse 8;8;8;7;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2062292;16.3510367;Behsel Stadtplan, WStLA, P1: 295/12G
483;Rofranogasse 9;9;9;8;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2062327;16.3508019;Behsel Stadtplan, WStLA, P1: 295/12G
484;Rofranogasse 10;10;10;9;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2062387;16.3505529;Behsel Stadtplan, WStLA, P1: 295/12G
485;Rofranogasse 11;11;11;10;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2062458;16.3503163;Behsel Stadtplan, WStLA, P1: 295/12G
