id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
181;Hundsthurmer Hauptstraﬂe 98;98;65;63;;Hundsthurmer Hauptstraﬂe;;Hundsthurm;48.1873629;16.349927;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
331;Nikolsdorfer Gasse 22;22;2;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1885727;16.3610657;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
332;Nikolsdorfer Gasse 23;23;1;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1890479;16.3610704;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
339;Nikolsdorfer Gasse 21;21;3;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1884242;16.3612416;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
340;Nikolsdorfer Gasse 20;20;4;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1883352;16.3613307;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
341;Nikolsdorfer Gasse 19;19;5;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1882695;16.3614221;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
342;Nikolsdorfer Gasse 18;18;6;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1881679;16.3615088;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
343;Nikolsdorfer Gasse 17;17;7;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1880851;16.3615979;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
344;Nikolsdorfer Gasse 16;16;8;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1880147;16.3616706;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
345;Nikolsdorfer Gasse 15;15;9;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1879319;16.3617644;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
346;Nikolsdorfer Gasse 14;14;10;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1878459;16.3618207;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
347;Nikolsdorfer Gasse 13;13;11;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1877521;16.3619168;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
348;Nikolsdorfer Gasse 24;24;48;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1884196;16.3610048;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
349;Nikolsdorfer Gasse 25;25;47;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1883226;16.3611103;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
350;Nikolsdorfer Gasse 26;26;46;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1882242;16.3612017;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
351;Nikolsdorfer Gasse 27;27;45;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1881429;16.3613142;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
352;Nikolsdorfer Gasse 28;28;44;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.188046;16.3613893;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
353;Nikolsdorfer Gasse 29;29;43;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1879569;16.3614877;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
354;Nikolsdorfer Gasse 30;30;42;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1878365;16.3615932;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
355;Nikolsdorfer Gasse 31;31;41;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1877068;16.3617339;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
356;Nikolsdorfer Gasse 12;12;12;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1876646;16.3620246;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
357;Nikolsdorfer Gasse 11;11;13;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1875849;16.362095;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
358;Nikolsdorfer Gasse 10;10;14;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1874895;16.3621888;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
359;Nikolsdorfer Gasse 9;9;15;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1873754;16.3622989;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
360;Nikolsdorfer Gasse 8;8;16;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1872676;16.3624232;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
361;Nikolsdorfer Gasse 7;7;17;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.1871957;16.3625006;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
362;Nikolsdorfer Gasse 6;6;18;;;Nikolsdorfer Gasse;Magistrat der Stadt Wien;Nikolsdorf;48.187116;16.3625873;Behsel Stadtplan, WStLA, P1: 295/100;Nikolsdorf
