id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
71;Hauptstraﬂe 3;3;3;;;Hauptstraﬂe;Magistrat der Stadt Wien;Reinprechtsdorf;48.1900435;16.353071;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
72;Hauptstraﬂe 4;4;4;;;Hauptstraﬂe;Magistrat der Stadt Wien;Reinprechtsdorf;48.1899701;16.3529807;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
73;Hauptstraﬂe 5;5;5;;;Hauptstraﬂe;Magistrat der Stadt Wien;Reinprechtsdorf;48.1898771;16.3528201;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
74;Hauptstraﬂe 2;2;2;;;Hauptstraﬂe;Magistrat der Stadt Wien;Reinprechtsdorf;48.1896911;16.3530288;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
75;Hauptstraﬂe 1;1;1;;;Hauptstraﬂe;Magistrat der Stadt Wien;Reinprechtsdorf;48.1894754;16.3527744;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
182;Reinprechtsdorferstraﬂe 11;11;22;;;Reinprechtsdorferstraﬂe;Magistrat der Stadt Wien;Reinprechtsdorf;48.1877412;16.3516572;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
183;Zwerchgasse 12;12;23;;;Zwerchgasse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1872082;16.3517041;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
184;Zwerchgasse 13;13;21;;;Zwerchgasse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1874552;16.351826;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
185;Reinprechtsdorferstraﬂe 14;14;6;;;Reinprechtsdorferstraﬂe;Magistrat der Stadt Wien;Reinprechtsdorf;48.1875849;16.3521449;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
186;Reinprechtsdorferstraﬂe 15;15;20;;;Reinprechtsdorferstraﬂe;Magistrat der Stadt Wien;Reinprechtsdorf;48.1874317;16.3522809;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
187;Grieﬂgasse 16;16;12;;;Grieﬂgasse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1878694;16.3522293;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
188;Grieﬂgasse 17;17;13;;;Grieﬂgasse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1879131;16.3523746;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
189;Grieﬂgasse 18;18;14;;;Grieﬂgasse;Magistrat der Stadt Wien;Reinprechtsdorf;48.18796;16.3525505;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
239;Grieﬂgasse 20;20;16;;;Grieﬂgasse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1881257;16.3529631;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
240;Grieﬂgasse 19;19;15;;;Grieﬂgasse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1880296;16.3527439;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
241;Blumengassse 8;8;9;;;Blumengassse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1883453;16.3525247;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
242;Blumengassse 7;7;8;;;Blumengassse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1884446;16.3525223;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
243;Blumengassse 9;9;10;;;Blumengassse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1882875;16.35235;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
244;Blumengassse 10;10;11;;;Blumengassse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1881921;16.3520827;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
245;Blumengassse 6;6;7;;;Blumengassse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1883164;16.3521777;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
258;Grieﬂgasse 22;22;18;;;Grieﬂgasse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1888385;16.3541541;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
259;Grieﬂgasse 23;23;;;;Grieﬂgasse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1885087;16.3536055;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
270;Grieﬂgasse 24;24;;;;Grieﬂgasse;Magistrat der Stadt Wien;Reinprechtsdorf;48.1890409;16.3545539;Behsel Stadtplan, WStLA, P1: 295/100;Reinprechtsdorf
