id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Latitude;Longitude;Vorstadt;Viertel;reference;Grundobrigkeit
0;An der Holzstraße 1;1;1;;;An der Holzstraße;48.2191505;16.3644568;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
1;An der Holzstraße 2;2;2;;;An der Holzstraße;48.2191615;16.3647794;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
2;An der Holzstraße 3;3;3;;;An der Holzstraße;48.2191818;16.3650845;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
3;An der Holzstraße 4;4;4;;;An der Holzstraße;48.2192258;16.3654236;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
4;An der Holzstraße 5;5;5;;;An der Holzstraße;48.2192721;16.3656914;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
5;Weiße Hahngasse 6;6;6;;;Weiße Hahngasse;48.2197703;16.3655244;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
6;Weiße Hahngasse 7;7;7;;;Weiße Hahngasse;48.2200229;16.3654027;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
7;Weiße Hahngasse 8;8;8;;;Weiße Hahngasse;48.2202013;16.3653366;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
8;Weiße Hahngasse 9;9;9;;;Weiße Hahngasse;48.2203982;16.3652671;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
9;Weiße Hahngasse 10;10;10;;;Weiße Hahngasse;48.2212115;16.365048;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
10;Weiße Hahngasse 11;11;11;;;Weiße Hahngasse;48.2213505;16.365055;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
11;Weiße Hahngasse 12;12;124;;;Weiße Hahngasse;48.2218997;16.3652045;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
12;Weiße Hahngasse 13;13;122;;;Weiße Hahngasse;48.2206809;16.3653888;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
13;Weiße Hahngasse 14;14;126;;;Weiße Hahngasse;48.2204376;16.3654723;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
14;Weiße Hahngasse 15;15;13;;;Weiße Hahngasse;48.2202106;16.3655557;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
15;Weiße Hahngasse 16;16;14;;;Weiße Hahngasse;48.2200507;16.3656357;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
16;Weiße Hahngasse neben Nr. 17 138;138;76;;;Weiße Hahngasse neben Nr. 17;48.2197773;16.3657401;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
17;An der Holzstraße 17;17;15;;;An der Holzstraße;48.2193625;16.3660913;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
18;An der Holzstraße 18;18;16;;;An der Holzstraße;48.2194598;16.3664912;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
19;An der Holzstraße 19;19;17;;;An der Holzstraße;48.2195108;16.3666964;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
20;An der Holzstraße 20;20;18;;;An der Holzstraße;48.2196058;16.3669503;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
21;An der Holzstraße 21;21;19;;;An der Holzstraße;48.2197495;16.3673572;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
22;An der Donau 22;22;"22;23";;;An der Donau;48.2194714;16.3681918;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
23;An der Donau 23;23;21;;K. K. Mauthhaus;An der Donau;48.2196591;16.3679797;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
24;An der Donau 24;24;20;;;An der Donau;48.2195664;16.3677571;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
25;Gestättengasse 25;25;129;;;Gestättengasse;48.2203519;16.3673154;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
26;Gestättengasse 26;26;24;;;Gestättengasse;48.2205535;16.3672285;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
27;Gestättengasse 27;27;25;;K. K. Bauholzstadl;Gestättengasse;48.2215289;16.3668425;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
28;Gestättengasse 28;28;121;;;Gestättengasse;48.2220132;16.3666408;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
29;Gestättengasse 29;29;26;;;Gestättengasse;48.2222565;16.3665017;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
30;Gestättengasse 30;30;27;;;Gestättengasse;48.2223816;16.3668668;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
31;Gestättengasse 31;31;28;;;Gestättengasse;48.2230164;16.3668877;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
32;Gestättengasse 32;32;29;;;Gestättengasse;48.2233489;16.3668668;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
33;Gestättengasse 33;33;30;;;Gestättengasse;48.2236791;16.3668442;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
34;Gestättengasse 34;34;31;;;Gestättengasse;48.2239212;16.3668216;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
35;Gestättengasse 35;35;32;;;Gestättengasse;48.2246707;16.3667086;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
36;Gestättengasse 36;36;119;;;Gestättengasse;48.2250472;16.3665069;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
37;Gestättengasse, zw. Nr. 36 und 37 139;139;0;;;Gestättengasse, zw. Nr. 36 und 37;48.2258673;16.366093;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
38;Gestättengasse 37;37;33;;;Gestättengasse;48.2259403;16.3654844;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
39;Gestättengasse 38;38;34;;;Gestättengasse;48.2262426;16.3654758;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
40;Am Alserbach 39;39;35;;;Am Alserbach;48.2257272;16.3629597;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
41;Rothe Löwengasse 40;40;36;;;Rothe Löwengasse;48.2250993;16.3635665;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
42;Rothe Löwengasse 41;41;112;;;Rothe Löwengasse;48.2244668;16.3641977;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
43;Rothe Löwengasse 42;42;120;;;Rothe Löwengasse;48.2240521;16.3646081;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
44;Seegasse 43;43;37;;;Seegasse;48.2234393;16.3658166;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
45;Judengasse 44;44;47;;;Judengasse;48.2233674;16.3641177;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
46;Judengasse 45;45;46;;;Judengasse;48.2230767;16.3627058;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
47;Judengasse 46;46;131;;;Judengasse;48.2231601;16.3620955;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
48;Judengasse 47;47;132;;;Judengasse;48.2231728;16.3622468;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
