id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
1;Schaumburgerhofgasse 1;1;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.1913872;16.3669978;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
3;Schaumburgerhofgasse 2;2;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.191612;16.3672068;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
5;Schaumburgerhofgasse 3;3;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.191388;16.3673974;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
7;Schaumburgerhofgasse 4;4;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.1911452;16.3675942;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
9;Schaumburgerhofgasse 5;5;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.1909391;16.367769;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
11;Schaumburgerhofgasse 6;6;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.1907476;16.3679193;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
13;Schaumburgerhofgasse 7;7;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.190535;16.3681014;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
15;Schaumburgerhofgasse 8;8;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.1903337;16.3682774;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
16;Schaumburgerhofgasse 9;9;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.1901382;16.3684423;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
18;Schaumburgerhofgasse 10;10;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.1899288;16.368611;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
20;Schaumburgerhofgasse 11;11;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.1897096;16.3688175;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
23;Schaumburgerhofgasse 13;13;;;;Schaumburgerhofgasse;Graf Gundaker von Stahremberg;Wieden;48.1892452;16.3691133;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
26;Feldgasse 15;15;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.188648;16.3683287;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
28;Feldgasse 16;16;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1884158;16.368556;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
30;Feldgasse 17;17;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1882357;16.3687124;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
32;Feldgasse 18;18;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1880426;16.3688676;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
34;Feldgasse 19;19;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1878634;16.3690351;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
36;Feldgasse 20;20;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1877061;16.3691683;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
38;Feldgasse 21;21;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1874503;16.3693907;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
40;Feldgasse 22;22;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1873175;16.3695154;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
42;Feldgasse 23;23;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1871342;16.3696706;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
52;Feldgasse 32;32;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1868848;16.3698979;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
54;Feldgasse 33;33;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1867088;16.3700604;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
56;Feldgasse 34;34;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1865475;16.3701949;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
58;Feldgasse 35;35;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1863829;16.3703427;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
60;Feldgasse 36;36;;;;Feldgasse;Graf Gundaker von Stahremberg;Wieden;48.1862591;16.3704381;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
62;Am Linienwall 37;37;;;;Am Linienwall;Graf Gundaker von Stahremberg;Wieden;48.1864008;16.3716639;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
64;Starhemberggasse 38;38;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1869158;16.3724399;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
66;Starhemberggasse 39;39;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.187113;16.3722957;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
68;Starhemberggasse 40;40;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1872906;16.3721662;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
70;Starhemberggasse 41;41;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1874788;16.3720146;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
72;Starhemberggasse 42;42;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1876581;16.3718655;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
74;Starhemberggasse 43;43;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1879115;16.3716639;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
76;Starhemberggasse 44;44;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1880923;16.3715233;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
78;Starhemberggasse 45;45;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1882651;16.3713754;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
80;Starhemberggasse 46;46;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1884321;16.3712386;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
82;Starhemberggasse 47;47;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1885649;16.3711347;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
84;Starhemberggasse 48;48;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1888134;16.3709233;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
86;Starhemberggasse 49;49;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1890195;16.3707644;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
88;Starhemberggasse 50;50;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.189246;16.3705713;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
90;Starhemberggasse 51;51;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1894098;16.3704271;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
92;Starhemberggasse 52;52;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1894888;16.3706067;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
94;Starhemberggasse 53;53;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1893104;16.3707522;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
96;Starhemberggasse 54;54;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1891393;16.3709061;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
98;Starhemberggasse 55;55;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.188947;16.3710626;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
99;Starhemberggasse 56;56;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1887735;16.3711885;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
101;Starhemberggasse 57;57;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1885991;16.3713314;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
103;Starhemberggasse 58;58;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.188459;16.3714561;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
105;Starhemberggasse 59;59;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.188252;16.3716406;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
107;Starhemberggasse 60;60;;;;Starhemberggasse;Graf Gundaker von Stahremberg;Wieden;48.1881233;16.3717335;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
109;Liniengasse 61;61;;;;Liniengasse;Graf Gundaker von Stahremberg;Wieden;48.1879546;16.3718704;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
111;Liniengasse 62;62;;;;Liniengasse;Graf Gundaker von Stahremberg;Wieden;48.1876654;16.3720977;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
113;Liniengasse 63;63;;;;Liniengasse;Graf Gundaker von Stahremberg;Wieden;48.1873566;16.3723421;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
115;Liniengasse 64;64;;;;Liniengasse;Graf Gundaker von Stahremberg;Wieden;48.1870706;16.372578;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
117;Favoritenstraﬂe 65;65;;;;Favoritenstraﬂe;Graf Gundaker von Stahremberg;Wieden;48.1877518;16.3728102;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
119;Favoritenstraﬂe 66;66;;;;Favoritenstraﬂe;Graf Gundaker von Stahremberg;Wieden;48.1882268;16.372776;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
121;Favoritenstraﬂe 67;67;;;;Favoritenstraﬂe;Graf Gundaker von Stahremberg;Wieden;48.1884125;16.3726733;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
123;Favoritenstraﬂe 68;68;;;;Favoritenstraﬂe;Graf Gundaker von Stahremberg;Wieden;48.1885494;16.3725878;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
125;Favoritenstraﬂe 69;69;;;;Favoritenstraﬂe;Graf Gundaker von Stahremberg;Wieden;48.1887727;16.3724778;Behsel Stadtplan, WStLA, P1: 295/9G;Schaumburgerhof
