id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
183;Am Glacis 1;1;;;K. K. Stallgeb‰ude;Am Glacis;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2035512;16.3591632;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
184;Breitegasse 2;2;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2044075;16.3566065;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
185;Breitegasse 3;3;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2042711;16.3566682;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
186;Breitegasse 4;4;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2041066;16.3567267;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
187;Breitegasse 5;5;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2039604;16.3567917;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
188;Breitegasse 6;6;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2038067;16.3568501;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
189;Breitegasse 7;7;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2036432;16.3569232;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
190;Breitegasse 8;8;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2034938;16.356985;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
191;Breitegasse 9;9;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2033585;16.3570418;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
192;Breitegasse 10;10;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2031939;16.3571035;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
193;Breitegasse 11;11;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.203037;16.357175;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
194;Stifgasse 12;12;;;;Stifgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2027652;16.3564457;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
195;Stifgasse 13;13;;;;Stifgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2028702;16.3568128;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
196;Breitegasse 14;14;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2030294;16.3569005;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
197;Breitegasse 15;15;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2031625;16.3568615;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
198;Breitegasse 16;16;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2032892;16.3568063;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
199;Breitegasse 17;17;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.203457;16.356738;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
200;Breitegasse 18;18;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2036053;16.3566828;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
201;Breitegasse 19;19;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2038013;16.3565854;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
202;Breitegasse 20;20;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2039355;16.3565318;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
203;Breitegasse 21;21;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2040102;16.3564993;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
204;Breitegasse 22;22;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2041022;16.3564587;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
205;Breitegasse 23;23;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.204191;16.3564294;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
206;Fleischhauergasse 24;24;;;;Fleischhauergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2040286;16.356111;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
207;Fleischhauergasse 25;25;;;;Fleischhauergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2040362;16.3561549;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
208;Fleischhauergasse 26;26;;;;Fleischhauergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2042809;16.3562183;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
209;Breitegasse 27;27;;;;Breitegasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2043534;16.3563515;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
210;Burggasse 28;28;;;;Burggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2043664;16.3562085;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
211;Burggasse 29;29;;;;Burggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2043469;16.3560948;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
212;Burggasse 30;30;;;;Burggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2043318;16.3559843;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
213;Burggasse 31;31;;;;Burggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2043144;16.3558414;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
214;Kochgasse 32;32;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2041412;16.3560818;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
215;Kochgasse 33;33;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2040016;16.3558658;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
216;Kochgasse 34;34;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.203025;16.356176;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
