id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
0;Neue Schottengasse 124;124;101;62;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2088369;16.3506082;Behsel Stadtplan, WStLA, P1: 295/13G
1;Neue Schottengasse 125;125;102;63;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2086995;16.3506484;Behsel Stadtplan, WStLA, P1: 295/13G
2;Neue Schottengasse 126;126;103;64;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2085923;16.3506736;Behsel Stadtplan, WStLA, P1: 295/13G
3;Neue Schottengasse 127;127;104;65;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2085119;16.3506836;Behsel Stadtplan, WStLA, P1: 295/13G
4;Neue Schottengasse 128;128;105;66;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2083863;16.3507113;Behsel Stadtplan, WStLA, P1: 295/13G
5;Neue Schottengasse 129;129;106;67;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2082003;16.350759;Behsel Stadtplan, WStLA, P1: 295/13G
6;Neue Schottengasse 130;130;107;68;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2079273;16.3507817;Behsel Stadtplan, WStLA, P1: 295/13G
7;Neue Schottengasse 131;131;108;69;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2077916;16.3508043;Behsel Stadtplan, WStLA, P1: 295/13G
8;Neue Schottengasse 132;132;109;70;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.207614;16.3508521;Behsel Stadtplan, WStLA, P1: 295/13G
9;Neue Schottengasse 133;133;110;71;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2074733;16.3508847;Behsel Stadtplan, WStLA, P1: 295/13G
10;Neue Schottengasse 134;134;111;72;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.207299;16.350925;Behsel Stadtplan, WStLA, P1: 295/13G
11;Neue Schottengasse 135;135;112;73;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.207116;16.3509777;Behsel Stadtplan, WStLA, P1: 295/13G
12;Neue Schottengasse 136;136;113;74;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2069338;16.351018;Behsel Stadtplan, WStLA, P1: 295/13G
13;Neue Schottengasse 137;137;114;75;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2067776;16.3510576;Behsel Stadtplan, WStLA, P1: 295/13G
