id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
785;Lerchenfelder Hauptstraﬂe 1;1;56;;;Lerchenfelder Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2064314;16.3498598;Behsel Stadtplan, WStLA, P1: 295/12G
786;Lerchenfelder Hauptstraﬂe 2;2;55;;;Lerchenfelder Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2064314;16.3495929;Behsel Stadtplan, WStLA, P1: 295/12G
787;Strotzische Hauptstraﬂe 3;3;54;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2067464;16.3493452;Behsel Stadtplan, WStLA, P1: 295/12G
788;Strotzische Hauptstraﬂe 4;4;53;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2068685;16.3493225;Behsel Stadtplan, WStLA, P1: 295/12G
789;Strotzische Hauptstraﬂe 5;5;52;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2070161;16.3492964;Behsel Stadtplan, WStLA, P1: 295/12G
790;Strotzische Hauptstraﬂe 6;6;51;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2072137;16.3492545;Behsel Stadtplan, WStLA, P1: 295/12G
791;Strotzische Hauptstraﬂe 7;7;50;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2073113;16.3492249;Behsel Stadtplan, WStLA, P1: 295/12G
792;Strotzische Hauptstraﬂe 8;8;49;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2074102;16.3492144;Behsel Stadtplan, WStLA, P1: 295/12G
793;Strotzische Hauptstraﬂe 9;9;48;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2075008;16.3491935;Behsel Stadtplan, WStLA, P1: 295/12G
794;Strotzische Hauptstraﬂe 10;10;47;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2075868;16.349176;Behsel Stadtplan, WStLA, P1: 295/12G
