id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
0;Hauptstraﬂe 1;1;52;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2251795;16.3569065;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
1;Hauptstraﬂe 2;2;51;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2253114;16.35692;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
2;Hauptstraﬂe 3;3;50;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2254416;16.3569159;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
3;Hauptstraﬂe 4;4;49;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2255475;16.3569105;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
4;Hauptstraﬂe 5;5;48;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2256758;16.3568688;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
5;Hauptstraﬂe 6;6;47;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2258535;16.3567516;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
6;Hauptstraﬂe 7;7;46;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2260205;16.3566384;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
7;Hauptstraﬂe 8;8;45;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2261596;16.3565684;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
8;Hauptstraﬂe 9;9;5;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.226392;16.3564175;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
9;Hauptstraﬂe 10;10;4;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2265742;16.3563649;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
10;Hauptstraﬂe 11;11;3;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2267151;16.356307;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
11;Hauptstraﬂe 12;12;2;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2268802;16.3562504;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
12;Hauptstraﬂe 13;13;1;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2270588;16.3561777;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
13;Obere Straﬂe 16;16;19;;;Obere Straﬂe;Magistrat der Stadt Wien;48.2269754;16.3553303;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
14;Obere Straﬂe 17;17;18;;;Obere Straﬂe;Magistrat der Stadt Wien;48.2268524;16.3553357;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
15;Obere Straﬂe 18;18;17;;;Obere Straﬂe;Magistrat der Stadt Wien;48.226734;16.3553424;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
16;Obere Straﬂe 19;19;16;;;Obere Straﬂe;Magistrat der Stadt Wien;48.2266164;16.3553532;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
17;Obere Straﬂe 20;20;15;;;Obere Straﬂe;Magistrat der Stadt Wien;48.2264854;16.355364;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
18;Obere Straﬂe 21;21;14;;;Obere Straﬂe;Magistrat der Stadt Wien;48.2263445;16.3553828;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
19;Obere Straﬂe 22;22;13;;;Obere Straﬂe;Magistrat der Stadt Wien;48.226235;16.3553855;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
20;Obere Straﬂe 23;23;12;;;Obere Straﬂe;Magistrat der Stadt Wien;48.2261228;16.3553842;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
21;Obere Straﬂe 24;24;11;;;Obere Straﬂe;Magistrat der Stadt Wien;48.2259935;16.3553613;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
22;Krongasse 25;25;10;;;Krongasse;Magistrat der Stadt Wien;48.2258087;16.3555175;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
