id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;Viertel;reference
0;Kegelgasse 40;40;35;2;;Kegelgasse;Magistrat der Stadt Wien;Weißgerber;48.2086463;16.3872522;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
1;Hauptstraße 24;24;17;40;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2086542;16.3869844;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
2;Hauptstraße 23;23;16;41;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2084884;16.3872567;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
3;Am Glacis 39;39;34;3;;Am Glacis;"Magistrat der Stadt Wien;Stift Schotten";Weißgerber;48.2089307;16.3868863;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
4;Kegelgasse 105;105;;;;Kegelgasse;Magistrat der Stadt Wien;Weißgerber;48.2084854;16.3876335;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
5;Hauptstraße 21;21;14;43;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2082143;16.3878441;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
6;Hetzgasse 107;107;;;;Hetzgasse;Magistrat der Stadt Wien;Weißgerber;48.2083916;16.387885;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
7;Kegelgasse 41;41;36;1;;Kegelgasse;Stift Schotten;Weißgerber;48.2082488;16.3881936;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
8;Kegelgasse 106;106;;;;Kegelgasse;Magistrat der Stadt Wien;Weißgerber;48.209169;16.3883761;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
9;Hetzgasse 43;43;38;6;;Hetzgasse;Stift Schotten;Weißgerber;48.2092386;16.3885722;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
10;Hetzgasse 44;44;39;5;;Hetzgasse;"Magistrat der Stadt Wien;Stift Schotten";Weißgerber;48.2091019;16.3888065;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
