id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
2;Altwiedener Hauptstraße 2;2;452;89;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1982516;16.3675349;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
4;Altwiedener Hauptstraße 3;3;452;88;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1981294;16.3674591;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
6;Altwiedener Hauptstraße 4;4;451;87;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1979941;16.3673345;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
8;Altwiedener Hauptstraße 5;5;450;86;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1978752;16.3672367;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
10;Altwiedener Hauptstraße 6;6;449;85;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1976667;16.3670754;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
12;Altwiedener Hauptstraße 7;7;448;84;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.197608;16.3672025;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
14;Altwiedener Hauptstraße 8;8;447;83;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1975445;16.3673198;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
17;Altwiedener Hauptstraße 9;9;446;82;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1971942;16.3673327;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
19;Altwiedener Hauptstraße 10;10;445;81;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1970264;16.3673339;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
21;Altwiedener Hauptstraße 11;11;444;80;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1966761;16.3672398;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
22;Altwiedener Hauptstraße 12;12;95;16;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.196496;16.3676675;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
24;Altwiedener Hauptstraße 13;13;94;15;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1968235;16.3675172;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
25;Altwiedener Hauptstraße 14;14;93;14;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1970549;16.367571;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
27;Altwiedener Hauptstraße 15;15;92;13;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1971681;16.3675697;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
29;Altwiedener Hauptstraße 17;17;90;11;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1974402;16.3675704;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
31;Altwiedener Hauptstraße 18;18;89;10;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1975608;16.367585;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
33;Altwiedener Hauptstraße 19;19;88;9;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1977123;16.3676107;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
35;Altwiedener Hauptstraße 20;20;87;8;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1978923;16.3676632;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
37;Altwiedener Hauptstraße 21;21;86;7;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1980764;16.3677317;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
39;Altwiedener Hauptstraße 22;22;7;6;M. Schmitt'sches Waisenstiftung;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1983737;16.3678942;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
41;Altwiedener Hauptstraße 23;23;6;5;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1985611;16.3679773;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
43;Altwiedener Hauptstraße 24;24;5;4;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.198711;16.3680262;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
44;Altwiedener Hauptstraße 25;25;4;3;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1988495;16.3680751;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
45;Altwiedener Hauptstraße 26;26;3;2;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1989684;16.3681289;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
46;Am Glacis 27;27;2;4;;Am Glacis;Bürgerspital in Wien;Wieden;48.1988552;16.368845;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
47;Am Glacis 28;28;1;1;K. K. polytechnisches Instiut;Am Glacis;Bürgerspital in Wien;Wieden;48.198979;16.3699889;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
48;Karlsgasse 29;29;566;;;Karlsgasse;Bürgerspital in Wien;Wieden;48.1985448;16.370875;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
49;Karlsgasse 30;30;567;;;Karlsgasse;Bürgerspital in Wien;Wieden;48.1983518;16.3706978;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
50;Karlsgasse 31;31;568;;;Karlsgasse;Bürgerspital in Wien;Wieden;48.1981774;16.3705548;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
51;Karlsgasse 32;32;578;;;Karlsgasse;Bürgerspital in Wien;Wieden;48.1980829;16.3704729;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
53;Karlsgasse 33;33;561;;;Karlsgasse;Bürgerspital in Wien;Wieden;48.1979143;16.3705927;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
55;Karlsgasse 34;34;15;305;;Karlsgasse;Bürgerspital in Wien;Wieden;48.1980919;16.3707601;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
57;Karlsgasse 35;35;565;;;Karlsgasse;Bürgerspital in Wien;Wieden;48.1983143;16.3710864;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
59;Alleegasse 36;36;564;;;Alleegasse;Bürgerspital in Wien;Wieden;48.1981391;16.3711988;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
61;Paniglgasse 37;37;563;;;Paniglgasse;Bürgerspital in Wien;Wieden;48.1979501;16.3712978;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
63;Paniglgasse 38;38;562;;;Paniglgasse;Bürgerspital in Wien;Wieden;48.197806;16.3709459;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
65;Paniglgasse 39;39;14;306;;Paniglgasse;"Magistrat der Stadt Wien;Bürgerspital in Wien";Wieden;48.1978744;16.3702884;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
67;Paniglgasse 40;40;13;;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1978793;16.3701429;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
69;Paniglgasse 41;41;12;;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1979013;16.3700488;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
71;Paniglgasse 42;42;11;307;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.198052;16.3690235;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
73;Paniglgasse 43;43;10;308;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1981025;16.3687399;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
75;Paniglgasse 44;44;9;309;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1981391;16.3685028;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
77;Paniglgasse 45;45;8;310;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1981579;16.3683354;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
79;Paniglgasse 46;46;85;311;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1979778;16.3687057;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
81;Paniglgasse 47;47;84;312;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1979102;16.3690797;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
83;Paniglgasse 48;48;83;313;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1978442;16.3695429;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
85;Paniglgasse 49;49;82;314;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.197788;16.3699816;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
87;Paniglgasse 50;50;81;315;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1977693;16.3702065;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
89;Paniglgasse 51;51;80;316;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1977049;16.3704863;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
91;Paniglgasse 52;52;581;;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1976772;16.3708346;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
93;Paniglgasse 53;53;580;;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.197709;16.3710571;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
95;Paniglgasse 54;54;79;317;;Paniglgasse;Magistrat der Stadt Wien;Wieden;48.1977514;16.3712819;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
97;Alleegasse 55;55;579;;;Alleegasse;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1973058;16.3716779;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
100;Alleegasse 57;57;555;;;Alleegasse;Magistrat der Stadt Wien;Wieden;48.1968919;16.3718991;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
102;Alleegasse 58;58;78;453;;Alleegasse;Kommende St. Johann;Wieden;48.19654;16.3721093;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
104;Alleegasse 59;59;77;450;;Alleegasse;Magistrat der Stadt Wien;Wieden;48.1963559;16.3722205;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
106;Alleegasse 60;60;"75;76";"438;439";;Alleegasse;Magistrat der Stadt Wien;Wieden;48.1961409;16.3723379;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
108;Alleegasse 61;61;74;318;;Alleegasse;Magistrat der Stadt Wien;Wieden;48.1958639;16.3724906;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
110;Alleegasse 62;62;73;319;;Alleegasse;Magistrat der Stadt Wien;Wieden;48.195639;16.3726177;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
112;Taubstummengasse 63;63;584;;;Taubstummengasse;Magistrat der Stadt Wien;Wieden;48.1952097;16.372003;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
114;Taubstummengasse 64;64;583;;;Taubstummengasse;Magistrat der Stadt Wien;Wieden;48.1952806;16.3723073;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
116;Alleegasse 65;65;582;;;Alleegasse;Magistrat der Stadt Wien;Wieden;48.1953409;16.3727852;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
118;Alleegasse 66;66;587;;;Alleegasse;Magistrat der Stadt Wien;Wieden;48.1951608;16.3728878;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
120;Alleegasse 67;67;72;320;K. K. Theresianisches Wachhaus;Alleegasse;Magistrat der Stadt Wien;Wieden;48.1946942;16.3733421;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
122;Alleegasse 68;68;62;321;;Alleegasse;Kommende St. Johann;Wieden;48.1943559;16.3736859;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
