id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
329;Pfaugasse 1;1;1;1;;Pfaugasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2007656;16.3596838;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
330;Pfaugasse 2;2;2;2;;Pfaugasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2007125;16.3596188;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
331;Pfaugasse 3;3;3;3;;Pfaugasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2006497;16.359549;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
332;Pfaugasse 4;4;4;4;;Pfaugasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2005999;16.3594678;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
333;Pfaugasse 5;5;5;5;;Pfaugasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2005469;16.3594012;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
334;Pfaugasse 6;6;6;6;;Pfaugasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2004862;16.3593281;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
335;Pfaugasse 7;7;7;7;;Pfaugasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2004299;16.3592712;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
336;Pfaugasse 8;8;8;8;;Pfaugasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.200379;16.3591916;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
337;Laimgruben-Hauptstraße 9;9;9;9;;Laimgruben-Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2009799;16.3592193;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
338;Laimgruben-Hauptstraße 10;10;10;10;;Laimgruben-Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2009323;16.3590649;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
339;Laimgruben-Hauptstraße 11;11;11;11;;Laimgruben-Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2009085;16.3589139;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
340;Laimgruben-Hauptstraße 12;12;12;12;;Laimgruben-Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2008933;16.3587872;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
341;Laimgruben-Hauptstraße 13;13;13;13;;Laimgruben-Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2008717;16.3586718;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
342;Laimgruben-Hauptstraße 14;14;14;14;;Laimgruben-Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2008533;16.3585581;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
343;Laimgruben-Hauptstraße 15;15;15;15;;Laimgruben-Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2008446;16.3584298;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
344;Laimgruben-Hauptstraße 16;16;16;16;Pfarrhaus, ehemals Karmeliten-Kloster;Laimgruben-Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2007991;16.3582008;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
345;Laimgruben-Hauptstraße 17;17;17;17;K. K. Arbeits- und Besserungsanstalt;Laimgruben-Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2004949;16.358412;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
346;Laimgruben-Hauptstraße 18;18;18;18;;Laimgruben-Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2006995;16.3576842;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
347;Laimgruben-Hauptstraße 19;19;19;19;;Laimgruben-Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2005967;16.3573253;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
348;Windmühlgasse 20;20;20;20;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2004397;16.3571807;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
349;Windmühlgasse 21;21;21;21;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2002968;16.3573123;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
350;Windmühlgasse 22;22;22;22;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2002394;16.3573724;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
351;Windmühlgasse 23;23;23;23;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2001842;16.357439;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
352;Windmühlgasse 24;24;24;24;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.200116;16.3575121;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
353;Windmühlgasse 25;25;25;25;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2000402;16.3575965;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
354;Windmühlgasse 26;26;26;26;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1999871;16.3576794;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
355;Windmühlgasse 27;27;27;27;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1998604;16.357629;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
356;Windmühlgasse 28;28;28;28;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1997879;16.357538;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
357;Windmühlgasse 29;29;29;29;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.199737;16.3574649;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
358;Windmühlgasse 30;30;30;30;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1996937;16.3573935;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
359;Windmühlgasse 31;31;31;31;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1996309;16.3573301;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
360;Windmühlgasse 32;32;32;32;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995822;16.3572798;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
361;Windmühlgasse 33;33;33;33;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995454;16.3572262;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
362;Windmühlgasse 34;34;34;34;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1994988;16.3571596;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
